Jahr;Altersgruppe;Total CH/Ausl.;Total CH;Total Ausl.;Anzahl Erwerbstätige;Erwerbseinkommen(gewichteter Median)
2017;Unter 25;620964;507300;116572;27339;22802
2017;25 bis 64;227081;177590;49491;139966;67518
2017;ab 65;70742;66028;4714;13011;10552
2018;Unter 25;108743;87864;20879;26917;23975
2018;25 bis 64;228746;178604;50142;140454;73865
2018;ab 65;72068;67204;4864;13189;10370
2016;Unter 25;108893;88083;20810;27824;22024
2016;25 bis 64;225316;176542;48774;138968;67432
2016;ab 65;69188;64639;4549;12652;10123
2015;Unter 25;108354;88642;19712;28525;22295
2015;25 bis 64;222738;175546;47192;137399;67152
2015;ab 65;67670;63315;4355;12244;10144
